Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,73.0,43.05,-90.0,top
C2,0.1uF,C_0805_2012Metric,50.0,43.0,-90.0,top
C3,0.1uF,C_0805_2012Metric,27.18,43.01,-90.0,top
D1,CDSOT23-SM712,CDSOT23-SM712,46.12,33.96,90.0,top
D2,CDSOT23-SM712,CDSOT23-SM712,69.16,33.97,90.0,top
D3,CDSOT23-SM712,CDSOT23-SM712,23.4,34.0,90.0,top
D4,SS54,SS54,32.57,9.42,-90.0,top
IC1,THVD1410DR,THVD1410DR,69.18,45.05,-90.0,top
IC2,THVD1410DR,THVD1410DR,46.17,45.03,-90.0,top
IC3,THVD1410DR,THVD1410DR,23.39,45.05,-90.0,top
J1,Mini-Fit Jr. 2x04,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,65.99,11.25,0.0,top
J2,Mini-Fit Jr. 2x03,Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,68.97,26.46,0.0,top
J3,Mini-Fit Jr. 2x03,Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,46.11,26.46,0.0,top
J4,Mini-Fit Jr. 2x03,Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,23.25,26.46,0.0,top
J5,PinHeader_2x11,PinHeader_2x11_P2.54mm_Vertical,5.63,31.74,0.0,top
J6,Screw_Terminal_01x01,TerminalBlock_MetzConnect_360272_1x01_Horizontal_ScrewM2.6,57.301,37.338,0.0,top
P1,Power,PinHeader_1x08_P2.54mm_Vertical,26.035,2.54,270.0,bottom
P2,Analog,PinHeader_1x08_P2.54mm_Vertical,48.891201,2.54,270.0,bottom
P3,Analog,PinHeader_1x08_P2.54mm_Vertical,71.755,2.54,270.0,bottom
P4,Digital,PinHeader_2x18_P2.54mm_Vertical,84.455,29.21,180.0,bottom
P5,PWM,PinHeader_1x10_P2.54mm_Vertical,19.431,50.8,270.0,bottom
P6,PWM,PinHeader_1x08_P2.54mm_Vertical,43.815,50.8,270.0,bottom
P7,Communication,PinHeader_1x08_P2.54mm_Vertical,66.675,50.8,270.0,bottom
R1,10kΩ,R_0805_2012Metric,63.78,45.09,180.0,top
R10,10Ω,R_0805_2012Metric,45.18,39.57,-90.0,top
R11,120Ω,R_0805_2012Metric,46.15,36.86,180.0,top
R12,10kΩ,R_0805_2012Metric,27.18,46.45,90.0,top
R13,10Ω,R_0805_2012Metric,24.37,39.58,-90.0,top
R14,10Ω,R_0805_2012Metric,22.41,39.58,-90.0,top
R15,120Ω,R_0805_2012Metric,23.44,36.89,180.0,top
R2,10kΩ,R_0805_2012Metric,40.22,47.7,180.0,top
R3,10kΩ,R_0805_2012Metric,19.6,47.06,-90.0,top
R4,10Ω,R_0805_2012Metric,70.12,39.56,-90.0,top
R5,10Ω,R_0805_2012Metric,68.15,39.56,-90.0,top
R6,120Ω,R_0805_2012Metric,69.16,36.86,180.0,top
R7,10kΩ,R_0805_2012Metric,73.0,46.51,90.0,top
R8,10kΩ,R_0805_2012Metric,49.98,46.43,90.0,top
R9,10Ω,R_0805_2012Metric,47.17,39.56,-90.0,top
