Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,165.04786,-72.43318,180.0,bottom
C2,0.1uF,C_0603_1608Metric,177.6603,-58.74766,0.0,top
C3,0.1uF,C_0603_1608Metric,201.88174,-58.90992,90.0,top
C4,0.1uF,C_0603_1608Metric,204.86116,-51.31562,180.0,top
C5,0.1uF,C_0603_1608Metric,194.44716,-45.6949,-90.0,top
C6,0.1uF,C_0603_1608Metric,201.60234,-90.42684,90.0,top
C7,0.1uF,C_0603_1608Metric,185.71972,-84.6074,0.0,top
C8,0.1uF,C_0603_1608Metric,175.23938,-84.32292,0.0,top
C9,0.1uF,C_0603_1608Metric,172.65,-104.3,0.0,top
C10,0.1uF,C_0603_1608Metric,168.04356,-118.18874,0.0,top
C11,0.1uF,C_0603_1608Metric,182.99166,-69.22008,0.0,top
C12,0.1uF,C_0603_1608Metric,203.0477,-68.26758,0.0,top
D1,Green,LED_D3.0mm,176.88806,-49.20996,180.0,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,190.144,-44.9072,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,205.512,-47.0524,-90.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,180.035,-54.5084,-90.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,199.746,-53.594,-90.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,205.537,-55.5752,-90.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,205.435,-64.008,-90.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,195.24,-64.81,-90.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,185.395,-64.8832,-90.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,178.472,-88.0616,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,188.937,-88.0616,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,197.116,-88.0616,0.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,187.159,-94.2592,0.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,179.386,-95.2244,0.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,172.02,-100.762,0.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,167.832,-107.823,0.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,166.331,-114.528,0.0,top
J1,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,167.00112,-51.5956,90.0,bottom
J2,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,167.01636,-62.37536,90.0,bottom
R1,470,R_0603_1608Metric,175.63592,-46.32656,90.0,top
