Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,147.88,-102.87,0.0,bottom
C2,0.1uF,C_0603_1608Metric,153.392,-54.574,0.0,top
C3,0.1uF,C_0603_1608Metric,160.387,-54.544,0.0,top
C4,0.1uF,C_0603_1608Metric,153.502,-96.464,0.0,top
C5,0.1uF,C_0603_1608Metric,160.528,-96.52,0.0,top
C6,0.1uF,C_0603_1608Metric,131.051,-102.362,0.0,top
C7,0.1uF,C_0603_1608Metric,139.687,-102.616,0.0,top
C8,0.1uF,C_0603_1608Metric,145.301,-107.696,180.0,top
C9,0.1uF,C_0603_1608Metric,136.665,-109.728,180.0,top
C10,0.1uF,C_0603_1608Metric,126.479,-109.728,0.0,top
D1,Green,LED_D3.0mm,150.871,-116.586,0.0,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,151.742,-50.974,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,158.702,-50.984,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,151.822,-92.744,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,158.872,-92.744,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,129.312,-98.784,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,138.43,-98.806,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.962,-106.164,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,132.932,-106.248,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,125.64,-106.248,0.0,top
J1,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,142.562,-114.098,180.0,bottom
J2,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,131.758,-114.098,180.0,bottom
R1,470,R_0603_1608Metric,154.178,-115.57,90.0,top
