Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF (C_Polarized),CP_Elec_8x10,104.85,-47.05,90.0,bottom
C2,0.1uF,C_0603_1608Metric,113.29924,-48.74514,180.0,top
C3,0.1uF,C_0603_1608Metric,130.2639,-46.39788,90.0,top
C4,0.1uF,C_0603_1608Metric,142.81658,-75.92792,-90.0,top
C5,0.1uF,C_0603_1608Metric,94.72422,-73.54794,90.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,110.1732,-41.5292,0.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.8562,-41.7068,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,125.1592,-41.7828,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,96.2408,-50.6084,90.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,102.6922,-50.1512,90.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,108.8392,-51.218,90.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,129.5282,-54.8892,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,134.6712,-48.768,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,140.0552,-55.118,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,99.0602,-75.946,0.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.1602,-75.9204,0.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131.2792,-75.1076,0.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,138.3912,-75.1076,0.0,top
D14,LED,LED_D3.0mm,96.885,-41.75,180.0,bottom
J1,2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,85.65522,-44.03794,270.0,bottom
J2,2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,85.68062,-54.78976,270.0,bottom
R1,470,R_0603_1608Metric,93.32722,-42.5953,90.0,top
